GraphType,Nodes,Edges,Variant,Mode,Time,Time_Std,Modularity,Modularity_Std,Communities,Communities_Std
LFR,50000,99996,BGL setS/vecS,baseline,0.8683712,0.01772132915331128,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL adj_matrix,baseline,,,,,,
LFR,50000,99996,BGL vecS/vecS,trust-Q,0.6952928,0.013421276033224268,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL listS/vecS,trust-Q,0.7556135,0.005815108360985214,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL setS/vecS,trust-Q,0.8285237000000001,0.013008752853751979,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL adj_matrix,trust-Q,,,,,,
LFR,50000,99996,BGL vecS/vecS,peak-Q,0.7347095,0.007273358099942561,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL listS/vecS,peak-Q,0.7803876999999999,0.007837973322868605,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL setS/vecS,peak-Q,0.8419001999999999,0.0055819924005681,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL adj_matrix,peak-Q,,,,,,
LFR,50000,99996,BGL vecS/vecS,trust+peak,0.7088422999999999,0.008057863166497677,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL listS/vecS,trust+peak,0.7566022,0.00796535667500206,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL setS/vecS,trust+peak,0.8312808,0.01754411082272338,0.5655590000000001,1.1102230246251565e-16,63.0,0.0
LFR,50000,99996,BGL adj_matrix,trust+peak,,,,,,
